# 作者|展示标题|定位诗句（兼容标点）|all 或明确选句（/分隔）
李白|静夜思|床前明月光|all
孟浩然|春晓|春眠不觉晓|all
王之涣|登鹳雀楼|白日依山尽|all
王维|相思|红豆生南国|all
王维|鹿柴|空山不见人|all
王维|竹里馆|独坐幽篁里|all
王维|鸟鸣涧|人闲桂花落|all
王维|山中送别|山中相送罢|all
王维|杂诗|君自故乡来|all
李白|独坐敬亭山|众鸟高飞尽|all
李白|怨情|美人卷珠帘|all
# 待核对通行异文，暂不入库：李白|夜宿山寺|危楼高百尺|all
柳宗元|江雪|千山鸟飞绝|all
贾岛|寻隐者不遇|松下问童子|all
孟浩然|宿建德江|移舟泊烟渚|all
刘长卿|逢雪宿芙蓉山主人|日暮苍山远|all
白居易|问刘十九|绿蚁新醅酒|all
白居易|池上|小娃撑小艇|all
白居易|赋得古原草送别|离离原上草|离离原上草/一岁一枯荣/野火烧不尽/春风吹又生
# 课标有此篇，以课标为准：李绅|悯农|锄禾日当午|all
# 课标有此篇，以课标为准：李绅|悯农|春种一粒粟|all
李商隐|乐游原|向晚意不适|all
卢纶|塞下曲|月黑雁飞高|all
卢纶|塞下曲|林暗草惊风|all
王昌龄|塞下曲|饮马渡秋水|饮马渡秋水/水寒风似刀
李白|望庐山瀑布|日照香炉生紫烟|all
李白|赠汪伦|李白乘舟将欲行|all
李白|早发白帝城|朝辞白帝彩云间|all
# 课标有此篇，以课标为准：李白|望天门山|天门中断楚江开|all
李白|黄鹤楼送孟浩然之广陵|故人西辞黄鹤楼|all
李白|峨眉山月歌|峨眉山月半轮秋|all
李白|春夜洛城闻笛|谁家玉笛暗飞声|all
# 课标有此篇，以课标为准：李白|闻王昌龄左迁龙标遥有此寄|杨花落尽子规啼|all
王维|送元二使安西|渭城朝雨浥轻尘|all
王维|九月九日忆山东兄弟|独在异乡为异客|all
王维|少年行|新丰美酒斗十千|all
王昌龄|出塞|秦时明月汉时关|all
王昌龄|芙蓉楼送辛渐|寒雨连江夜入吴|all
王昌龄|从军行|青海长云暗雪山|all
王昌龄|闺怨|闺中少妇不知愁|all
王之涣|凉州词|黄河远上白云间|all
王翰|凉州词|葡萄美酒夜光杯|all
# 待核对通行异文，暂不入库：高适|别董大|千里黄云白日曛|all
岑参|逢入京使|故园东望路漫漫|all
岑参|行军九日思长安故园|强欲登高去|all
杜甫|绝句|两个黄鹂鸣翠柳|all
杜甫|绝句|迟日江山丽|all
杜甫|江畔独步寻花|黄四娘家花满蹊|all
杜甫|江南逢李龟年|岐王宅里寻常见|all
杜甫|赠花卿|锦城丝管日纷纷|all
杜甫|八阵图|功盖三分国|all
杜甫|绝句|江碧鸟逾白|江碧鸟逾白/山青花欲燃
张继|枫桥夜泊|月落乌啼霜满天|all
张志和|渔歌子|西塞山前白鹭飞|西塞山前白鹭飞/桃花流水鳜鱼肥/斜风细雨不须归
韩翃|寒食|春城无处不飞花|all
韦应物|滁州西涧|独怜幽草涧边生|all
# 课标有此篇，以课标为准：刘禹锡|望洞庭|湖光秋月两相和|all
刘禹锡|乌衣巷|朱雀桥边野草花|all
刘禹锡|竹枝词|杨柳青青江水平|all
刘禹锡|秋词|自古逢秋悲寂寥|all
刘禹锡|浪淘沙|九曲黄河万里沙|all
# 待核对通行异文，暂不入库：刘禹锡|酬乐天扬州初逢席上见赠|巴山楚水凄凉地|沉舟侧畔千帆过/病树前头万木春
白居易|暮江吟|一道残阳铺水中|all
白居易|大林寺桃花|人间四月芳菲尽|all
白居易|白云泉|天平山上白云泉|all
白居易|钱塘湖春行|孤山寺北贾亭西|all
张籍|秋思|洛阳城里见秋风|all
韩愈|早春呈水部张十八员外|天街小雨润如酥|all
韩愈|晚春|草树知春不久归|all
柳宗元|柳州二月榕叶落尽偶题|宦情羁思共凄凄|宦情羁思共凄凄/春半如秋意转迷
元稹|离思|曾经沧海难为水|all
元稹|菊花|秋丛绕舍似陶家|all
李贺|南园|男儿何不带吴钩|all
# 待核对通行异文，暂不入库：李贺|马诗|大漠沙如雪|all
杜牧|山行|远上寒山石径斜|all
杜牧|清明|清明时节雨纷纷|all
杜牧|江南春|千里莺啼绿映红|all
杜牧|泊秦淮|烟笼寒水月笼沙|all
杜牧|秋夕|银烛秋光冷画屏|all
杜牧|赤壁|折戟沉沙铁未销|all
杜牧|过华清宫|长安回望绣成堆|all
# 待核对通行异文，暂不入库：杜牧|遣怀|落魄江湖载酒行|all
杜牧|赠别|多情却似总无情|all
李商隐|夜雨寄北|君问归期未有期|all
李商隐|嫦娥|云母屏风烛影深|all
李商隐|贾生|宣室求贤访逐臣|all
